"LOG_ID","USER_ID","LOGIN_STATUS","LOG_DATE","USER_IP","DEVICE_INFO"
1,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
5,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
11,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
12,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
13,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
14,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
15,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
17,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
24,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
25,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
27,"P18I016",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
28,"P18I016",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
31,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
33,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
36,"T181285",1,03-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
40,"T181285",1,06-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
41,"T181285",1,06-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
42,"T181285",1,06-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
43,"P18I016",1,06-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
46,"T181285",1,07-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
47,"T181285",1,07-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
48,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
49,"T181285",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
73,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
84,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
