"PUBLISHER_ID","NAME","TEMP_PUB_ID","COMMERCIAL_NAME","ADDRESS"
12496,"O'Reilly ,Inc",12496,"",""
12497,"BPB.Pub.",12497,"",""
12498,"Rajat Pubication",12498,"",""
12499,"Progress Publisher",12499,"",""
12500,"Prentice-Hall International",12500,"",""
12501,"Glencoe McGraw- Hill",12501,"",""
12502,"Science research associates",12502,"",""
12503,"Ezgi kitabevi yayinlari",12503,"",""
12504,"M&T Books",12504,"",""
12505,"Top floor publishing",12505,"",""
12506,"Novell",12506,"",""
12507,"Экожан",12507,"",""
12508,"Congress centre academia in stara lesna",12508,"",""
12509,"Made simple books",12509,"",""
12510,"Ануар-KZ",12510,"",""
12511,"Clays Ltd",12511,"",""
12512,"Elsevier science",12512,"",""
12513,"Anchor books",12513,"",""
12514,"Nelson",12514,"",""
12515,"DoubleDay & Company,Inc",12515,"",""
12516,"Editions De l'agence de presse Novosti",12516,"",""
12517,"Hamish Hamilton",12517,"",""
12518,"Тау-Самал",12518,"",""
12519,"Camelot Book",12519,"",""
12520,"Алматы баспа үйі",12520,"",""
12521,"Wordsworth Classic Erotica",12521,"",""
12522,"The world bank",12522,"",""
12523,"Prentice Hall of India",12523,"",""
12524,"HarperTrophy",12524,"",""
12525,"Routledge",12525,"",""
12526,"North point press",12526,"",""
12527,"VIKRA",12527,"",""
12528,"Freeman and company",12528,"",""
12529,"Three rivers press",12529,"",""
12530,"Harcourt Brace&Company",12530,"",""
12531,"Regents Pub. Com.Эnc",12531,"",""
12532,"IRWIN McGraw-Hill",12532,"",""
12533,"THe ICFAI University",12533,"",""
12534,"Physica-Verlag Heidelberg",12534,"",""
12535,"Harper Collins colloge Publishers,Inc",12535,"",""
12536,"Macmillian Press LTD",12536,"",""
12537,"Polity Press",12537,"",""
12538,"Mayfield, Marlys",12538,"",""
12539,"MCB University Press",12539,"",""
12540,"Hamish McRae",12540,"",""
12541,"ISAR",12541,"",""
12542,"Gun ltd",12542,"",""
12543,"SFN tanitim tasarim televizyon yayincilik",12543,"",""
12544,"Bakanliklar",12544,"",""
12545,"Icel haber ajansi",12545,"",""
12546,"Europa Konyvkiyado",12546,"",""
