"INV_ID","BOOK_ID","J_ISSUE_ID","DISC_ID","RECEIVE_DATE","ODA_ID","STATUS","OLD_INV_ID","HESAB_ID","EMELIYYAT_NO","PRICE","CURRENCY","BARCODE","SIGLE_TYPE","USER_CID","USER_NAME","EDITED_BY"
57103,128646,,,,,0,"57103",,,330,"KZT",10411988,"АБ","","",""
41486,146132,,,,,1,"41486",,,670,"KZT",10237670,"АБ","","",""
25257,138585,,,,,1,"25257",,,1900,"KZT",10088357,"АБ","","",""
65693,131863,,,,,1,"65693",,,700,"KZT",10565353,"АБ","","",""
4447,144573,,,,,1,"4447",,,200,"KZT",10464014,"АБ","","",""
73147,140966,,,,,1,"73147",,,100,"KZT",10648612,"АБ","","",""
43601,134152,,,,,1,"43601",,,518,"KZT",10262320,"АБ","","",""
42591,127397,,,,,1,"42591",,,1000,"KZT",10249185,"АБ","","",""
70506,128858,,,,,1,"70506",,,300,"KZT",10620113,"АБ","","",""
79510,147087,,,,,1,"79510",,,3606,"KZT",10732526,"АБ","","",""
73294,134928,,,,,1,"73294",,,100,"KZT",10650080,"АБ","","",""
74946,134930,,,,,1,"74946",,,1120,"KZT",10655306,"ЧЗ","","",""
45564,128204,,,,,1,"45564",,,300,"KZT",10291054,"АБ","","",""
45737,128205,,,,,1,"45737",,,100,"KZT",10295380,"АБ","","",""
45743,128205,,,,,1,"45743",,,100,"KZT",10295441,"АБ","","",""
45939,128206,,,,,1,"45939",,,250,"KZT",10300657,"АБ","","",""
45946,128206,,,,,1,"45946",,,250,"KZT",10302675,"АБ","","",""
38727,128092,,,,,1,"38727",,,200,"KZT",10421093,"АБ","","",""
38479,128097,,,,,1,"38479",,,500,"KZT",10384329,"АБ","","",""
37755,133903,,,,,1,"37755",,,300,"KZT",10301944,"АБ","","",""
37346,133905,,,,,1,"37346",,,200,"KZT",10289396,"АБ","","",""
37644,133909,,,,,1,"37644",,,0,"KZT",10299494,"ЧЗ","","",""
37716,133914,,,,,1,"37716",,,350,"KZT",10301562,"АБ","","",""
41936,127389,,,,,1,"41936",,,2000,"KZT",10239384,"ЧЗ","","",""
41943,127389,,,,,1,"41943",,,2000,"KZT",10239452,"АБ","","",""
52517,127389,,,,,1,"52517",,,2000,"KZT",10132937,"АБ","","",""
26634,127393,,,,,1,"26634",,,800,"KZT",10096024,"АБ","","",""
25827,127393,,,,,1,"25827",,,800,"KZT",10091319,"АБ","","",""
50034,134446,,,,,1,"50034",,,460,"KZT",10416303,"АБ","","",""
22434,127261,,,,,1,"22434",,,928,"KZT",10024133,"АБ","","",""
22738,127262,,,,,1,"22738",,,500,"KZT",10071489,"АБ","","",""
23335,127263,,,,,1,"23335",,,350,"KZT",10018965,"АБ","","",""
23340,127263,,,,,1,"23340",,,350,"KZT",10461891,"АБ","","",""
23345,127263,,,,,1,"23345",,,350,"KZT",10019054,"АБ","","",""
23154,127264,,,,,1,"23154",,,700,"KZT",10019092,"АБ","","",""
23159,127264,,,,,1,"23159",,,700,"KZT",10167458,"АБ","","",""
23164,127264,,,,,1,"23164",,,700,"KZT",10019146,"АБ","","",""
23169,127264,,,,,1,"23169",,,700,"KZT",10202081,"АБ","","",""
23375,127265,,,,,1,"23375",,,100,"KZT",10011591,"АБ","","",""
86968,138341,,,,,1,"86968",,,3900,"KZT",10812013,"АБ","","",""
86973,138341,,,,,1,"86973",,,3900,"KZT",10812068,"АБ","","",""
86978,138341,,,,,1,"86978",,,3900,"KZT",10812112,"АБ","","",""
86983,138341,,,,,1,"86983",,,3900,"KZT",10812167,"АБ","","",""
86989,138341,,,,,1,"86989",,,3900,"KZT",10812228,"АБ","","",""
86994,138341,,,,,1,"86994",,,3900,"KZT",10812273,"АБ","","",""
86999,138341,,,,,1,"86999",,,3900,"KZT",10812327,"АБ","","",""
87004,138341,,,,,1,"87004",,,3900,"KZT",10812372,"АБ","","",""
87010,138341,,,,,1,"87010",,,3900,"KZT",10812433,"АБ","","",""
87015,138341,,,,,1,"87015",,,3900,"KZT",10812488,"АБ","","",""
60008,134747,,,,,1,"60008",,,14500,"KZT",10479599,"ЧЗ","","",""
60896,134752,,,,,1,"60896",,,167,"KZT",10502419,"АБ","","",""
61037,134754,,,,,1,"61037",,,1100,"KZT",10507612,"АБ","","",""
61405,134757,,,,,1,"61405",,,9350,"KZT",10519486,"ЧЗ","","",""
61224,134758,,,,,1,"61224",,,2400,"KZT",10516874,"АБ","","",""
61230,134759,,,,,1,"61230",,,1200,"KZT",10516935,"ЧЗ","","",""
61236,134760,,,,,1,"61236",,,1400,"KZT",10516997,"АБ","","",""
61242,134760,,,,,1,"61242",,,1400,"KZT",10517055,"АБ","","",""
42796,134141,,,,,1,"42796",,,400,"KZT",10251232,"ЧЗ","","",""
42882,134146,,,,,1,"42882",,,2945,"KZT",10193228,"АБ","","",""
52360,134473,,,,,1,"52360",,,600,"KZT",10369067,"АБ","","",""
76440,134477,,,,,1,"76440",,,300,"KZT",10688359,"АБ","","",""
52472,134482,,,,,1,"52472",,,640,"KZT",10371756,"АБ","","",""
52519,134487,,,,,1,"52519",,,240,"KZT",10372081,"АБ","","",""
52562,134490,,,,,1,"52562",,,244,"KZT",10373170,"АБ","","",""
52642,134496,,,,,1,"52642",,,390,"KZT",10376256,"ЧЗ","","",""
51949,134502,,,,,1,"51949",,,5000,"KZT",10367889,"АБ","","",""
51977,134507,,,,,1,"51977",,,1510,"KZT",10370339,"ЧЗ","","",""
51993,134513,,,,,1,"51993",,,600,"KZT",10369463,"АБ","","",""
53143,134516,,,,,1,"53143",,,5370,"KZT",10363409,"ЧЗ","","",""
30336,127525,,,,,1,"30336",,,450,"KZT",10051122,"АБ","","",""
30348,127527,,,,,1,"30348",,,750,"KZT",10065525,"ЧЗ","","",""
29681,127532,,,,,1,"29681",,,3000,"KZT",10003435,"АБ","","",""
29765,127536,,,,,1,"29765",,,1000,"KZT",10014578,"АБ","","",""
68114,127539,,,,,1,"68114",,,570,"KZT",10591376,"ЧЗ","","",""
29617,127543,,,,,1,"29617",,,2610,"KZT",10000847,"ЧЗ","","",""
29710,127545,,,,,1,"29710",,,0,"KZT",10003688,"ЧЗ","","",""
29822,127549,,,,,1,"29822",,,0,"KZT",10026847,"ЧЗ","","",""
29742,127554,,,,,1,"29742",,,600,"KZT",10014509,"АБ","","",""
31226,127556,,,,,1,"31226",,,590,"KZT",10119921,"АБ","","",""
64668,128133,,,,,1,"64668",,,514,"KZT",10555101,"АБ","","",""
64673,128133,,,,,1,"64673",,,514,"KZT",10555156,"АБ","","",""
64678,128133,,,,,1,"64678",,,514,"KZT",10555200,"АБ","","",""
64736,128133,,,,,1,"64736",,,514,"KZT",10555781,"АБ","","",""
64683,128133,,,,,1,"64683",,,514,"KZT",10555255,"АБ","","",""
64687,128133,,,,,1,"64687",,,514,"KZT",10555293,"АБ","","",""
64692,128133,,,,,1,"64692",,,514,"KZT",10555347,"АБ","","",""
64697,128133,,,,,1,"64697",,,514,"KZT",10555392,"АБ","","",""
64703,128133,,,,,1,"64703",,,514,"KZT",10555453,"АБ","","",""
64709,128133,,,,,1,"64709",,,514,"KZT",10555514,"АБ","","",""
44606,134154,,,,,1,"44606",,,1215,"KZT",10272374,"АБ","","",""
44682,134155,,,,,1,"44682",,,662,"KZT",10273135,"ЧЗ","","",""
44687,134155,,,,,1,"44687",,,662,"KZT",10273180,"АБ","","",""
44695,134155,,,,,1,"44695",,,662,"KZT",10273265,"АБ","","",""
44700,134155,,,,,1,"44700",,,662,"KZT",10273319,"АБ","","",""
44995,134156,,,,,1,"44995",,,1652,"KZT",10278215,"АБ","","",""
45003,134157,,,,,1,"45003",,,380,"KZT",10278291,"АБ","","",""
44854,134158,,,,,1,"44854",,,1337,"KZT",10276808,"АБ","","",""
44282,134159,,,,,1,"44282",,,730,"KZT",10269138,"ЧЗ","","",""
57915,134665,,,,,1,"57915",,,2322,"KZT",10433034,"АБ","","",""
57943,134666,,,,,1,"57943",,,1602,"KZT",10433317,"АБ","","",""
57948,134666,,,,,1,"57948",,,1602,"KZT",10433362,"АБ","","",""
57950,134666,,,,,1,"57950",,,1602,"KZT",10433386,"АБ","","",""
58159,134667,,,,,1,"58159",,,855,"KZT",10436127,"АБ","","",""
58604,134668,,,,,1,"58604",,,1359,"KZT",10441237,"ЧЗ","","",""
58330,134671,,,,,1,"58330",,,675,"KZT",10437834,"ЧЗ","","",""
58298,134672,,,,,1,"58298",,,1260,"KZT",10437513,"ЧЗ","","",""
58305,134672,,,,,1,"58305",,,1260,"KZT",10437582,"АБ","","",""
58313,134672,,,,,1,"58313",,,1260,"KZT",10437667,"АБ","","",""
69502,134833,,,,,1,"69502",,,200,"KZT",10610077,"АБ","","",""
69518,134833,,,,,1,"69518",,,200,"KZT",10610237,"АБ","","",""
69640,134833,,,,,1,"69640",,,200,"KZT",10611456,"АБ","","",""
69646,134833,,,,,1,"69646",,,200,"KZT",10611517,"АБ","","",""
69653,134833,,,,,1,"69653",,,200,"KZT",10611586,"АБ","","",""
69659,134833,,,,,1,"69659",,,200,"KZT",10611647,"АБ","","",""
69781,134833,,,,,1,"69781",,,200,"KZT",10612866,"АБ","","",""
69788,134833,,,,,1,"69788",,,200,"KZT",10612934,"АБ","","",""
69794,134833,,,,,1,"69794",,,200,"KZT",10612996,"АБ","","",""
69801,134833,,,,,1,"69801",,,200,"KZT",10613061,"АБ","","",""
64520,128133,,,,,1,"64520",,,514,"KZT",10553626,"АБ","","",""
64559,128133,,,,,1,"64559",,,514,"KZT",10554012,"АБ","","",""
64596,128133,,,,,1,"64596",,,514,"KZT",10554388,"АБ","","",""
35468,127780,,,,,1,"35468",,,500,"KZT",10447055,"АБ","","",""
35473,127780,,,,,1,"35473",,,500,"KZT",10447109,"АБ","","",""
35073,127781,,,,,1,"35073",,,350,"KZT",10209257,"КХ","","",""
35500,127787,,,,,1,"35500",,,3000,"KZT",10143902,"АБ","","",""
35605,127791,,,,,1,"35605",,,1372,"KZT",10220283,"ЧЗ","","",""
37261,127793,,,,,1,"37261",,,200,"KZT",10288542,"ЧЗ","","",""
34231,127797,,,,,1,"34231",,,1500,"KZT",10200605,"АБ","","",""
27515,136242,,,,,1,"27515",,,1000,"KZT",10098011,"ЧЗ","","",""
21478,136244,,,,,1,"21478",,,1700,"KZT",10066287,"АБ","","",""
21255,136247,,,,,1,"21255",,,741,"KZT",10159996,"АБ","","",""
45890,136247,,,,,1,"45890",,,900,"KZT",10300169,"АБ","","",""
45895,136247,,,,,1,"45895",,,900,"KZT",10300213,"АБ","","",""
22870,136248,,,,,1,"22870",,,500,"KZT",10082973,"АБ","","",""
22876,136248,,,,,1,"22876",,,500,"KZT",10103838,"АБ","","",""
22881,136248,,,,,1,"22881",,,500,"KZT",10103883,"АБ","","",""
22887,136248,,,,,1,"22887",,,500,"KZT",10103944,"АБ","","",""
22893,136248,,,,,1,"22893",,,500,"KZT",10104002,"АБ","","",""
22899,136248,,,,,1,"22899",,,500,"KZT",10082829,"АБ","","",""
51813,137496,,,,,1,"51813",,,880,"KZT",10360316,"АБ","","",""
51818,137496,,,,,1,"51818",,,880,"KZT",10360361,"АБ","","",""
51864,137498,,,,,1,"51864",,,1000,"KZT",10361474,"АБ","","",""
51760,137499,,,,,1,"51760",,,1500,"KZT",10355916,"АБ","","",""
51918,137502,,,,,1,"51918",,,1500,"KZT",10362013,"ЧЗ","","",""
51134,137506,,,,,1,"51134",,,230,"KZT",10329863,"ЧЗ","","",""
51139,137506,,,,,1,"51139",,,230,"KZT",10329917,"АБ","","",""
51144,137506,,,,,1,"51144",,,230,"KZT",10329962,"АБ","","",""
51151,137506,,,,,1,"51151",,,230,"KZT",10330036,"АБ","","",""
52259,137509,,,,,1,"52259",,,600,"KZT",10358481,"ЧЗ","","",""
78698,135065,,,,,1,"78698",,,7115,"KZT",10723234,"ЧЗ","","",""
78704,135066,,,,,1,"78704",,,7350,"KZT",10723296,"ЧЗ","","",""
78779,135067,,,,,1,"78779",,,12865,"KZT",10724040,"ЧЗ","","",""
78729,135068,,,,,1,"78729",,,6760,"KZT",10723548,"ЧЗ","","",""
79728,135071,,,,,1,"79728",,,500,"KZT",10734421,"ЧЗ","","",""
79771,135076,,,,,1,"79771",,,500,"KZT",10734858,"АБ","","",""
79825,135081,,,,,1,"79825",,,500,"KZT",10735398,"АБ","","",""
79851,135082,,,,,1,"79851",,,3951,"KZT",10735664,"АБ","","",""
79917,135083,,,,,1,"79917",,,2445,"KZT",10736326,"ЧЗ","","",""
79923,135083,,,,,1,"79923",,,2445,"KZT",10736388,"АБ","","",""
36386,127856,,,,,1,"36386",,,200,"KZT",10480854,"АБ","","",""
36398,127860,,,,,1,"36398",,,500,"KZT",10480977,"АБ","","",""
36648,127864,,,,,1,"36648",,,176,"KZT",10488928,"АБ","","",""
36613,127869,,,,,1,"36613",,,1200,"KZT",10488577,"АБ","","",""
37195,127872,,,,,1,"37195",,,160,"KZT",10287880,"АБ","","",""
75649,134946,,,,,1,"75649",,,1624,"KZT",10680247,"АБ","","",""
75788,134949,,,,,1,"75788",,,880,"KZT",10681633,"ЧЗ","","",""
75577,134954,,,,,1,"75577",,,2048,"KZT",10679524,"ЧЗ","","",""
75284,134957,,,,,1,"75284",,,1008,"KZT",10659083,"ЧЗ","","",""
75290,134957,,,,,1,"75290",,,1008,"KZT",10659144,"АБ","","",""
47005,128218,,,,,1,"47005",,,800,"KZT",10347508,"ЧЗ","","",""
47010,128219,,,,,1,"47010",,,1280,"KZT",10347553,"ЧЗ","","",""
47018,128220,,,,,1,"47018",,,1280,"KZT",10347638,"АБ","","",""
47068,128225,,,,,1,"47068",,,1000,"KZT",10346020,"ЧЗ","","",""
47034,128229,,,,,1,"47034",,,130,"KZT",10347799,"ЧЗ","","",""
46434,128234,,,,,1,"46434",,,150,"KZT",10312179,"АБ","","",""
46439,128234,,,,,1,"46439",,,150,"KZT",10312223,"АБ","","",""
46109,128235,,,,,1,"46109",,,350,"KZT",10304303,"АБ","","",""
46116,128235,,,,,1,"46116",,,350,"KZT",10304372,"АБ","","",""
46353,128237,,,,,1,"46353",,,200,"KZT",10307472,"АБ","","",""
26444,127408,,,,,1,"26444",,,400,"KZT",10132111,"АБ","","",""
25938,127410,,,,,1,"25938",,,0,"KZT",10048511,"ЧЗ","","",""
25786,127412,,,,,1,"25786",,,600,"KZT",10495827,"АБ","","",""
25807,127415,,,,,1,"25807",,,700,"KZT",10086995,"ЧЗ","","",""
26088,127419,,,,,1,"26088",,,400,"KZT",10126714,"ЧЗ","","",""
26838,127423,,,,,1,"26838",,,2400,"KZT",10203781,"ЧЗ","","",""
24043,127276,,,,,1,"24043",,,500,"KZT",10174104,"АБ","","",""
24088,127281,,,,,1,"24088",,,500,"KZT",10162736,"ЧЗ","","",""
24186,127285,,,,,1,"24186",,,500,"KZT",10148570,"АБ","","",""
24232,127290,,,,,1,"24232",,,650,"KZT",10105658,"ЧЗ","","",""
24537,127293,,,,,1,"24537",,,200,"KZT",10113578,"ЧЗ","","",""
24562,127298,,,,,1,"24562",,,500,"KZT",10032046,"АБ","","",""
24423,127304,,,,,1,"24423",,,1000,"KZT",10066652,"АБ","","",""
39684,134028,,,,,1,"39684",,,60,"KZT",10496510,"АБ","","",""
39763,134033,,,,,1,"39763",,,100,"KZT",10510865,"АБ","","",""
39770,134036,,,,,1,"39770",,,200,"KZT",10511244,"АБ","","",""
39728,134041,,,,,1,"39728",,,205,"KZT",10498354,"АБ","","",""
38526,134047,,,,,1,"38526",,,200,"KZT",10386088,"АБ","","",""
38417,134052,,,,,1,"38417",,,450,"KZT",10371084,"АБ","","",""
38833,134056,,,,,1,"38833",,,100,"KZT",10490846,"АБ","","",""
38703,134061,,,,,1,"38703",,,200,"KZT",10413050,"АБ","","",""
82057,138343,,,,,1,"82057",,,8560,"KZT",10755501,"АБ","","",""
82059,138343,,,,,1,"82059",,,8560,"KZT",10755525,"АБ","","",""
65673,134807,,,,,1,"65673",,,700,"KZT",10565155,"АБ","","",""
65683,134808,,,,,1,"65683",,,700,"KZT",10565254,"АБ","","",""
65802,134809,,,,,1,"65802",,,1680,"KZT",10566961,"АБ","","",""
65807,134809,,,,,1,"65807",,,1680,"KZT",10567012,"АБ","","",""
65812,134809,,,,,1,"65812",,,1680,"KZT",10567067,"АБ","","",""
65818,134809,,,,,1,"65818",,,1680,"KZT",10567128,"АБ","","",""
78356,134809,,,,,1,"78356",,,3575,"KZT",10720219,"АБ","","",""
65734,134810,,,,,1,"65734",,,750,"KZT",10565483,"АБ","","",""
66372,134811,,,,,1,"66372",,,1180,"KZT",10572504,"ЧЗ","","",""
66380,134811,,,,,1,"66380",,,1180,"KZT",10572580,"АБ","","",""
19876,148127,,,,,1,"19876",,,700,"KZT",10103166,"АБ","","",""
19889,148130,,,,,1,"19889",,,1110,"KZT",10095751,"АБ","","",""
19762,148132,,,,,1,"19762",,,500,"KZT",10112496,"АБ","","",""
19767,148132,,,,,1,"19767",,,500,"KZT",10112540,"АБ","","",""
19772,148132,,,,,1,"19772",,,500,"KZT",10112595,"АБ","","",""
19778,148132,,,,,1,"19778",,,500,"KZT",10112656,"АБ","","",""
54828,143643,,,,,1,"54828",,,550,"KZT",10391044,"АБ","","",""
54835,143643,,,,,1,"54835",,,550,"KZT",10391112,"АБ","","",""
54843,143643,,,,,1,"54843",,,550,"KZT",10391198,"АБ","","",""
54849,143643,,,,,1,"54849",,,550,"KZT",10391259,"АБ","","",""
24901,142355,,,,,1,"24901",,,250,"KZT",10036785,"АБ","","",""
25078,142358,,,,,1,"25078",,,200,"KZT",10122426,"АБ","","",""
79079,141089,,,,,1,"79079",,,1000,"KZT",10726846,"АБ","","",""
87619,141089,,,,,1,"87619",,,1000,"KZT",10819227,"АБ","","",""
79331,141091,,,,,1,"79331",,,3584,"KZT",10730041,"АБ","","",""
79336,141091,,,,,1,"79336",,,3584,"KZT",10730096,"АБ","","",""
78821,141092,,,,,1,"78821",,,8095,"KZT",10724460,"АБ","","",""
78711,141093,,,,,1,"78711",,,9485,"KZT",10723364,"АБ","","",""
78848,141095,,,,,1,"78848",,,4425,"KZT",10728734,"ЧЗ","","",""
79434,141096,,,,,1,"79434",,,3202,"KZT",10731765,"АБ","","",""
79441,141096,,,,,1,"79441",,,3202,"KZT",10731833,"АБ","","",""
79449,141096,,,,,1,"79449",,,3202,"KZT",10731918,"АБ","","",""
23968,148344,,,,,1,"23968",,,2960,"KZT",10070970,"АБ","","",""
70660,148344,,,,,1,"70660",,,2960,"KZT",10621653,"АБ","","",""
70666,148344,,,,,1,"70666",,,2960,"KZT",10621714,"АБ","","",""
70674,148344,,,,,1,"70674",,,2960,"KZT",10621790,"АБ","","",""
70680,148344,,,,,1,"70680",,,2960,"KZT",10621851,"АБ","","",""
70687,148344,,,,,1,"70687",,,2960,"KZT",10621929,"АБ","","",""
70693,148344,,,,,1,"70693",,,2960,"KZT",10621981,"АБ","","",""
70699,148344,,,,,1,"70699",,,2960,"KZT",10622049,"АБ","","",""
23732,148345,,,,,1,"23732",,,100,"KZT",10038406,"АБ","","",""
46846,148172,,,,,1,"46846",,,1130,"KZT",10319789,"АБ","","",""
20493,148173,,,,,1,"20493",,,1030,"KZT",10089699,"АБ","","",""
20553,148176,,,,,1,"20553",,,200,"KZT",10159088,"АБ","","",""
70526,148176,,,,,1,"70526",,,200,"KZT",10620311,"АБ","","",""
70532,148176,,,,,1,"70532",,,200,"KZT",10620373,"АБ","","",""
