"DISC_ID","NAME","ISBN","ISSN","PUBLISHER_ID","PUB_YEAR","PUB_CITY","OLD_ID","PARALLEL_TITLE","PUB_INFO","ISSUE_NUMBER","ISSUE_DATE","LANGUAGE","TYPE"
775,"Family and Friends 1","9780194812061","",,2008,"UK",,"","",,,"","CF"
776,"Өлеңдер","97814050818449","",,2011,"Алматы",,"","",,,"","CF"
777,"Абай жолы","9786012003321","",,2011,"Алматы",,"","",,,"","CF"
778,"Практикум по земельному праву РК","9789965830396","",,2013,"Алматы",,"","",,,"","CF"
779,"Лингвомәдениеттану: Тіл Мәдениет Контексінде","","",,2004,"Алматы",,"","",,,"","CF"
780,"Избранные труды в 10-ти томах","","",,2013,"Алматы",,"","",,,"","CF"
781,"ХІІІ-ХҮІ ғғ. Қазақстан тарихына қатысты қолжазбалар","","",,2011,"Астана",,"","",,,"","CF"
782,"Экология және тұрақты даму","","",,2014,"Алматы",,"","",,,"","CF"
783,"Ісқағаздарының үлгілері","","",,,"Алматы",,"","",,,"","CF"
784,"Қазақ жазуының тарихы мен теориясы","9786017348601","",,2013,"Алматы",,"","",,,"","CF"
785,"Қазақ этнолингвистикасы","9965792526","",,2011,"Алматы",,"","",,,"","CF"
786,"Атау кере","9786012003376","",,2011,"Алматы",,"","",,,"","CF"
787,"Практикум по трудовому праву РК","9789965830402","",,2013,"Алматы",,"","",,,"","CF"
788,"Мемлекет және құқық теориясының негізгі мәселелері","","",,2012,"Алматы",,"","",,,"","CF"
789,"Азаматтық құқық. Том 2","","",,2012,"Алматы",,"","",,,"","CF"
790,"Қазақстан Республикасының әкімшілік құқығы","9789965830426","",,2013,"Алматы",,"","",,,"","CF"
791,"Әдеби сын тарихы","","",,2012,"Алматы",,"","",,,"","CF"
792,"Новые направления социальной лингвистики","","",,2011,"Алматы",,"","",,,"","CF"
793,"Иран қазақтары","","",,2007,"Алматы",,"","",,,"","CF"
794,"Поэма жанрын талдау","","",,2011,"Алматы",,"","",,,"","CF"
795,"Құқық негіздері","9789965511691","",,2010,"Алматы",,"","",,,"","CF"
796,"Қазақ елі, бір ауыз сөзім саған!","","",,2004,"Алматы",,"","",,,"","CF"
797,"Қазақ әдеби сынының тарихы 2-том","","",,2011,"Алматы",,"","",,,"","CF"
798,"Қазақ әдеби сынының тарихы 1-том","","",,2011,"Алматы",,"","",,,"","CF"
799,"Третейское (арбитражное) право","","",,2012,"Алматы",,"","",,,"","CF"
800,"Элементы дискретной математики Часть 1","","",,2004,"Алматы",,"","",,,"","CF"
801,"Теория распознавания образов и кластерного анализа","","",,2012,"Алматы",,"","",,,"","CF"
802,"Рукописи по истории Казахстана 17-20 вв. в собрании института востоковедения АН РУЗ","","",,2011,"Астана",,"","",,,"","CF"
803,"Introduction to the Phonetics of English for Teachers of English as a Foreign Language","","",,2013,"Алматы",,"","",,,"","CF"
804,"Yabancilara turkce dil ogretimi ve dil ogretim metodlarinin uygulamalari","","",,2013,"Almaty",,"","",,,"","CF"
805,"Международное таможенное право","","",,2012,"Алматы",,"","",,,"","CF"
806,"Культура в зеркале языка","9786017348519","",,2014,"Алматы",,"","",,,"","CF"
807,"Антропонимы казахского и руского языков: функциональная мотивация","","",,2006,"Алматы",,"","",,,"","CF"
808,"Тарих - Рашиди еңбегінің әдеби әлемі","","",,2009,"Алматы",,"","",,,"","CF"
809,"Принцип разделения властей: опыт ряда зарубежных стран","","",,2014,"Алматы",,"","",,,"","CF"
810,"Әңгіме жанрын талдау амалдары","","",,2010,"Алматы",,"","",,,"","CF"
811,"Арабографические источники по истории Казахстана","","",,2013,"Астана",,"","",,,"","CF"
812,"Хрестоматия по истории межгосударственных отношений и дипломатии в Центральной Азии. ХІІІ-ХҮ вв.","","",,2008,"Астана",,"","",,,"","CF"
813,"Экономика предприятия","","",,2012,"Алматы",,"","",,,"","CF"
814,"Хорезмидің ""Мұхаббатнамесіндегі"" лингвосемиотикалық кеңістік","","",,2011,"Алматы",,"","",,,"","CF"
815,"Yabancilar Icin ileri Seviye Turkce-I","","",,2015,"Almaty",,"","",,,"","CF"
816,"Self-Knowledge","","",,2014,"Алматы",,"","",,,"","CF"
817,"Fundamentals of Computer Networks in microlearning style","9965792585","",,2012,"Almaty",,"","",,,"","CF"
818,"Корпоративное управления: Казахстанский конспект","9786012783872","",,2010,"Алматы",,"","",,,"","CF"
819,"Қазақ тілі барлығы үшін","","",,2005,"Астана",,"","",,,"","CF"
820,"Business Advantage","9781107607798","",,2012,"New York",,"","",,,"","CF"
821,"Family and Friends 2","9780194812191","",,2009,"UK",,"","",,,"","CF"
822,"Family and Friends 5","9780194802932","",,2009,"UK",,"","",,,"","CF"
823,"Күйші","9786012003352","",,2011,"Алматы",,"","",,,"","CF"
824,"Прокурорский надзор в Республике Казахстан","","",,2010,"Алматы",,"","",,,"","CF"
825,"Тарих- Рашиди еңбегінің тарихи әлемі","","",,2009,"Алматы",,"","",,,"","CF"
826,"Қазақша-парсыша Тілашар","","",,2007,"Алматы",,"","",,,"","CF"
827,"Сын шын болсын","","",,1993,"Алматы",,"","",,,"","CF"
828,"Рынок труда и занятость человеческих ресурсов Казахстана в условиях глобализации","","",,2007,"Алматы",,"","",,,"","CF"
829,"Рукописи по истории Казахстана 13-16 вв. в собрании института востоковедения АН РУЗ","","",,2008,"Астана",,"","",,,"","CF"
830,"Түркілік ортақ термин негіздері","9786018034452","",,2014,"Алматы",,"","",,,"","CF"
831,"Мәңгілік Майдан немесе тілдер тоғысындағы түркі әлемі","9786018034459","",,2014,"Алматы",,"","",,,"","CF"
832,"Family and Friends 6","9780194803083","",,2009,"UK",,"","",,,"","CF"
833,"Жорық жырлары","9786012003338","",,2011,"Алматы",,"","",,,"","CF"
834,"Предупреждение административной деликатности несовершеннолетних","","",,2009,"Алматы",,"","",,,"","CF"
835,"Қылмыстық құқық","","",,2012,"Алматы",,"","",,,"","CF"
836,"Молда Мұсаның әдеби мұрасы","","",,2012,"Алматы",,"","",,,"","CF"
837,"Язык в социальном, культурном и коммуникативном контексте","","",,2012,"Алматы",,"","",,,"","CF"
838,"Хафиз-Шәкәрім рухани үндестігі","","",,2008,"Алматы",,"","",,,"","CF"
839,"Қазіргі қазақ тілінің лексикологиясы: практикалық және лабораториялық жұмыстар","","",,2010,"Алматы",,"","",,,"","CF"
840,"Лексикалық дублеттер және тілдік норма","","",,2009,"Алматы",,"","",,,"","CF"
